,PTY_PROFILE_SUB_TYPE,SOCIO_ECONOMIC_SEGMENT,PARTY_NATIONALITY,PARTY_GENDER_CD,TARGET,YEAR_JOINED,CURRENT_YEAR,BILL_AMOUNT,PAID_AMOUNT,PAYMENT_TRANSACTIONS,PARTY_REV,PREPAID_LINES,POSTPAID_LINES,OTHER_LINES,LINE_REV,STATUS,MOUS_TO_LOCAL_MOBILES,MOUS_FROM_LOCAL_MOBILES,MOUS_TO_LOCAL_LANDLINES,MOUS_FROM_LOCAL_LANDLINES,MOUS_TO_INT_NUMBER,MOUS_FROM_INT_NUMBER,DATA_IN_BNDL,DATA_OUT_BNDL,DATA_USG_PAYG,COMPLAINTS,Years_stayed
258706,Residential,EXPATS,Egypt,M,0,2012,2019,509.9678016,378.9133333,2,1079.938333,0,2,1,328.8416667,ACTIVE,81.62,130.065,6.95,54.925,52.085,5.635,4694.570313,0,0,0,7
258707,Residential,EXPATS,Egypt,M,0,2012,2019,448.4144321,481.3233333,2,924.3816667,1,2,0,501.9716667,ACTIVE,251.255,371.76,41.47,35.5,10.42,0,3233.910645,0,0,0,7
258708,Residential,EXPATS,United Arab Emirates,M,0,2012,2019,0,0,0,1516.895,2,2,0,0,ACTIVE,0,0,0,0,0,0,0,0,0,0,7
258709,Residential,EXPATS,Philippines,M,0,2012,2019,161.0832957,171.6666667,1,416.91,0,1,1,157.91,ACTIVE,51.835,43.03,2.4,3.49,81.31,0,1074.802734,0,0,0,7
258710,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,205.7227507,314.1666667,1,1667.23,4,2,2,246.04,ACTIVE,57.96,2.21,6.65,0.02,18.8,0.01,97.63183594,0,0,0,7
258711,Residential,EXPATS,Egypt,M,0,2012,2019,54.47623155,186.1666667,1,895.1916667,0,4,1,87.59,ACTIVE,10.96,48.89,0,35.6,0,0.335,36.19628906,0,0,0,7
258712,Prestige,EMIRATI,United Arab Emirates,M,0,2012,2019,1669.200615,1775.06,5,2355.496667,12,1,0,1658.038333,ACTIVE,22.495,0,1.325,0.26,0,0,61363.91113,0,0,0,7
258713,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,279.8956984,285.1733333,1,2267.17,5,5,1,251.59,ACTIVE,154,141.525,28.395,54.1,0,0,16274.1084,0,0,0,7
258714,Residential,EMIRATI,United Arab Emirates,M,0,2012,2019,447.1711164,471.6666667,1,2656.69,0,3,2,449,ACTIVE,0,0,0,0,0,0,0,0,0,0,7
258715,Residential,EXPATS,Egypt,F,0,2012,2019,291.074056,314.9333333,2,297.175,1,1,0,296.2733333,ACTIVE,234.625,4.935,27.86,5.25,0,0.25,7727.658691,0,0,0,7
